chunk_id,jd_id,line_id,tag,sim_skills,sim_experience,sim_education,predicted_tag,text
 Product_Growth_Analyst_wiris__line2, Product_Growth_Analyst_wiris,2,mixed,0.2297,0.3353,0.0444,experience,"You’ll help translate data into growth by shaping how we acquire, engage, and convert users, contributing directly to the evolution of our products and go-to-market strategies. You´ll be working across Product, Marketing, and Sales to deliver actionable insights and inform key decisions with a clear understanding of business impact."
 Product_Growth_Analyst_wiris__line5, Product_Growth_Analyst_wiris,5,experience,0.1653,0.3281,-0.0118,experience,"Collaborate closely with Marketing and Sales teams to analyze acquisition channels, campaign performance, and conversion to paid, identifying opportunities to improve user acquisition and revenue growth."
 Product_Growth_Analyst_wiris__line6, Product_Growth_Analyst_wiris,6,experience,0.064,0.2019,-0.1049,experience,"Analyze product performance and user behavior to uncover insights that drive product adoption, retention, and monetization."
 Product_Growth_Analyst_wiris__line7, Product_Growth_Analyst_wiris,7,skills,0.119,0.2264,0.0941,experience,"Monitor key SaaS and product metrics such as conversion to paid, churn, LTV, ARR, activation, and retention using tools like GA4 and Tableau."
 Product_Growth_Analyst_wiris__line8, Product_Growth_Analyst_wiris,8,experience,0.1371,0.2769,0.0092,experience,"Analyze product funnels and user journeys (from acquisition to retention) to identify friction points, reduce drop-offs, and improve engagement."
 Product_Growth_Analyst_wiris__line9, Product_Growth_Analyst_wiris,9,experience,0.2045,0.1936,-0.0898,skills,Collaborate with Product Managers to identify opportunities and prioritize initiatives that generate measurable product growth.
 Product_Growth_Analyst_wiris__line10, Product_Growth_Analyst_wiris,10,skills,0.2147,0.1877,0.0175,skills,"Define and maintain product analytics tracking and dashboards (GA4, GTM, Looker, Tableau), enabling teams to access reliable and actionable data."
 Product_Growth_Analyst_wiris__line11, Product_Growth_Analyst_wiris,11,skills,0.2537,0.2275,0.19,skills,"Design, implement, and evaluate growth experiments (A/B tests, feature experiments, funnel optimizations), ensuring data accuracy and statistical validity."
 Product_Growth_Analyst_wiris__line12, Product_Growth_Analyst_wiris,12,experience,0.2399,0.3231,0.0577,experience,"Work closely with Product, Marketing, and Sales teams to align on growth initiatives and support data-driven decision-making across the organization."
 Product_Growth_Analyst_wiris__line14, Product_Growth_Analyst_wiris,14,education,0.2823,0.333,0.5679,education,"Bachelor’s degree in Business, Data Analytics, Engineering, or a related field."
 Product_Growth_Analyst_wiris__line15, Product_Growth_Analyst_wiris,15,experience,0.3014,0.4065,0.2125,experience,"3–4 years of experience in product analytics, growth analytics, business intelligence, or similar data-driven roles."
 Product_Growth_Analyst_wiris__line16, Product_Growth_Analyst_wiris,16,experience,0.1369,0.2347,0.135,experience,"Experience working with marketing data (acquisition channels, campaigns, conversion funnels)"
 Product_Growth_Analyst_wiris__line17, Product_Growth_Analyst_wiris,17,experience,0.2793,0.3142,0.2717,experience,"Experience working in SaaS environments, preferably in B2B or product-led growth companies."
 Product_Growth_Analyst_wiris__line18, Product_Growth_Analyst_wiris,18,skills,0.512,0.3707,0.1131,skills,"Ability to think beyond data, with a business and product mindset focused on impact and outcomes."
 Product_Growth_Analyst_wiris__line19, Product_Growth_Analyst_wiris,19,skills,0.2779,0.1964,0.1911,skills,Hands-on experience designing and analyzing A/B tests or experimentation frameworks.
 Product_Growth_Analyst_wiris__line20, Product_Growth_Analyst_wiris,20,skills,0.2092,0.2653,0.1187,experience,Strong knowledge of digital analytics tools such as Google Analytics 4 and Google Tag Manager.
 Product_Growth_Analyst_wiris__line21, Product_Growth_Analyst_wiris,21,skills,0.1471,0.147,-0.0143,skills,"Experience building dashboards using tools like Tableau, Looker, or Power BI."
 Product_Growth_Analyst_wiris__line22, Product_Growth_Analyst_wiris,22,skills,0.188,0.1412,0.1382,skills,Basic knowledge of SQL for data exploration and analysis.
 Product_Growth_Analyst_wiris__line25, Product_Growth_Analyst_wiris,25,skills,0.3673,0.1953,0.136,skills,Fluency in Spanish and English.
AI_Video_Editor_PARTNERS__line3,AI_Video_Editor_PARTNERS,3,mixed,0.2886,0.2339,0.0626,skills,"You'll take creative briefs from our Creative Strategist and produce polished, performance-ready video ads — fast. You're expected to use AI tools as part of your workflow and deliver without hand-holding."
AI_Video_Editor_PARTNERS__line5,AI_Video_Editor_PARTNERS,5,experience,0.2903,0.3564,0.2157,experience,— Receive briefs from the Creative Strategist and execute from start to finish
AI_Video_Editor_PARTNERS__line6,AI_Video_Editor_PARTNERS,6,experience,0.2272,0.3124,0.1449,experience,— Edit and produce 10–20 ad concepts per week
AI_Video_Editor_PARTNERS__line7,AI_Video_Editor_PARTNERS,7,skills,0.0878,0.1746,-0.0614,experience,"— Handle captions, b-roll, visual overlays, and all post-production"
AI_Video_Editor_PARTNERS__line11,AI_Video_Editor_PARTNERS,11,experience,0.1149,0.2511,0.0799,experience,— Experience editing performance video ads for DTC or e-commerce brands
AI_Video_Editor_PARTNERS__line12,AI_Video_Editor_PARTNERS,12,skills,0.1942,0.2022,0.0348,experience,— Comfortable using AI tools to speed up your workflow
AI_Video_Editor_PARTNERS__line13,AI_Video_Editor_PARTNERS,13,skills,0.0327,0.0402,-0.0624,experience,"— Fast, clean output — quality without slow turnarounds"
AI_Video_Editor_PARTNERS__line23,AI_Video_Editor_PARTNERS,23,education,0.2695,0.074,0.241,skills,Required languages
AI_Video_Editor_PARTNERS__line24,AI_Video_Editor_PARTNERS,24,skills,0.1291,0.1493,0.1182,experience,English	B2 - Upper Intermediate
Accenture_Talent_Transformation_Manager__line7,Accenture_Talent_Transformation_Manager,7,mixed,0.4368,0.3626,0.1022,skills,"Talent Transformation is the strategic evolution of skills, capabilities, and associated organisational wiring that support an organisation’s business strategy. It's about continuously reinventing talent by identifying and executing on the most critical changes needed across the enterprise, for teams, and for individuals. This is more than just training people, finding faster ways to hire people, or implementing a technology. It’s about truly transforming an organisation’s talent and the systems that create lasting organisational change to accelerate strategic execution, drive speed and agility, amplify talent potential, build resilience, and improve sustainability."
Accenture_Talent_Transformation_Manager__line8,Accenture_Talent_Transformation_Manager,8,mixed,0.4593,0.4509,0.174,skills,"We partner with organisations to build a talent strategy that defines how to access, create, and unlock the potential of talent. We help access talent by strengthening diverse talent pipelines, both internal and external, matching the needs of the business to people’s skills and aspirations. We help create talent by using skills as the foundation to help people continuously build market relevant skills through equitable access to career opportunities. And we unlock potential by creating conditions across the organisation that allow people to do their best work every day and leave them net better off."
Accenture_Talent_Transformation_Manager__line9,Accenture_Talent_Transformation_Manager,9,mixed,0.4565,0.4273,0.214,skills,We view skills-driven organisations as a human + technology network where skill-based talent practices unlock opportunities for individuals and maximise talent potential for the organisation. We support our clients to build the right capability through implementing learning and re-skilling programmes to ensure organisations have the right people and right skills to better position their talent across the organisation based on skill supply/demand.
Accenture_Talent_Transformation_Manager__line12,Accenture_Talent_Transformation_Manager,12,mixed,0.4508,0.3899,0.1964,skills,"Work in dynamic teams to deliver innovative learning and reskilling solutions to our clients. Work with cutting-edge learning technologies and have the opportunity to develop a wide range of new skills on the job. If you’re looking for a challenging career, working in a vibrant environment with access to training and a global network of learning consultants, this could be the role for you."
Accenture_Talent_Transformation_Manager__line15,Accenture_Talent_Transformation_Manager,15,mixed,0.3921,0.3543,0.1372,skills,"Challenge our clients to think differently in how they can ensure they power their people today and ready them for tomorrow with the right skills and capabilities, e.g.. by supporting clients to transition to become a Skills Based Organisation (SBO), fostering a more adaptable, efficient, and innovative workforce with greater internal mobility"
Accenture_Talent_Transformation_Manager__line16,Accenture_Talent_Transformation_Manager,16,experience,0.2845,0.3571,0.0961,experience,"Lead global delivery teams to deliver workforce strategy and transformation, talent strategy, learning, and reskilling projects at our core clients"
Accenture_Talent_Transformation_Manager__line17,Accenture_Talent_Transformation_Manager,17,experience,0.3047,0.3555,0.0984,experience,Own client relationships and help to lead our clients to deliver leading Talent Transformation initiatives.
Accenture_Talent_Transformation_Manager__line18,Accenture_Talent_Transformation_Manager,18,experience,0.368,0.3519,0.1663,skills,"Empower Analysts and Consultants to deliver at their full potential through coaching, mentoring and people leadership."
Accenture_Talent_Transformation_Manager__line19,Accenture_Talent_Transformation_Manager,19,experience,0.357,0.3891,0.1033,experience,"Help to grow Talent Transformation by getting involved in sales processes, including contributing to bid submissions and client presentations."
Accenture_Talent_Transformation_Manager__line20,Accenture_Talent_Transformation_Manager,20,mixed,0.448,0.4386,0.1699,skills,Understand how digital and AI are impacting the workforce and how required transformational change will mean new skills and roles to tap future value
Accenture_Talent_Transformation_Manager__line21,Accenture_Talent_Transformation_Manager,21,mixed,0.5734,0.5594,0.3735,skills,"Support organisations to understand the skills they have, the skills they need and how best to address their skill gaps"
Accenture_Talent_Transformation_Manager__line22,Accenture_Talent_Transformation_Manager,22,mixed,0.472,0.4411,0.1593,skills,"Deliver Talent, learning and reskilling strategies and projects to build the right capability for our clients"
Accenture_Talent_Transformation_Manager__line23,Accenture_Talent_Transformation_Manager,23,mixed,0.2965,0.3814,0.2027,experience,"Support client to future proof their workforce planning through Strategic Workforce Planning to support the alignment of an organisation's workforce with its business goals by ensuring they have the right people, with the right skills, in the right roles, at the right time to meet their future strategic needs"
Accenture_Talent_Transformation_Manager__line24,Accenture_Talent_Transformation_Manager,24,mixed,0.3171,0.3061,0.0158,skills,Support clients to rethink ways of working and the behaviours needed to equip their teams to deliver results quickly
Accenture_Talent_Transformation_Manager__line25,Accenture_Talent_Transformation_Manager,25,mixed,0.4326,0.4259,0.1435,skills,Supporting complex and large-scale Technology transformation programmes to implement an impactful learning and skilling experience
Accenture_Talent_Transformation_Manager__line26,Accenture_Talent_Transformation_Manager,26,mixed,0.5385,0.5129,0.2582,skills,"Help clients to build a Skills Architecture, to define, map, and manage its workforce's skill landscape, connecting them to roles, career paths, and business goals. The provides clients with actionable intelligence for strategic workforce planning, talent mobility, and aligns the workforce with business needs"
Accenture_Talent_Transformation_Manager__line27,Accenture_Talent_Transformation_Manager,27,skills,0.4685,0.3896,0.259,skills,"Be versed on Technology that underpins Talent engagements (LXP, LMS, etc.), to be able to advise clients on appropriate tooling"
