scale,prompt,metric,n,value,ci_low,ci_high,p_value,effect_size,interpretation
holistic_score_0-3,P0,Spearman ρ,32,0.823,0.67,0.91,0.0,,very strong
holistic_score_0-3,P0,Pearson r,32,0.806,0.64,0.9,0.0,,very strong
holistic_score_0-3,P0,Weighted κ,32,0.52,0.321,0.674,,,moderate
holistic_score_0-3,P0,Bias (LLM−human),32,0.438,0.219,0.656,0.0017,0.654,Cohen's d: medium
holistic_score_0-3,P0,MAE,32,0.562,0.375,0.75,,,ordinal — interpret with caution
holistic_score_0-3,P0,% exact match,32,46.9,30.9,63.6,,,
holistic_score_0-3,P0,% within ±1,32,96.9,84.3,99.4,,,
holistic_score_0-3,P1,Spearman ρ,32,0.821,0.66,0.91,0.0,,very strong
holistic_score_0-3,P1,Pearson r,32,0.807,0.64,0.9,0.0,,very strong
holistic_score_0-3,P1,Weighted κ,32,0.514,0.322,0.671,,,moderate
holistic_score_0-3,P1,Bias (LLM−human),32,0.469,0.25,0.688,0.0011,0.698,Cohen's d: medium
holistic_score_0-3,P1,MAE,32,0.594,0.406,0.781,,,ordinal — interpret with caution
holistic_score_0-3,P1,% exact match,32,43.8,28.2,60.7,,,
holistic_score_0-3,P1,% within ±1,32,96.9,84.3,99.4,,,
holistic_score_0-3,P2,Spearman ρ,32,0.849,0.71,0.92,0.0,,very strong
holistic_score_0-3,P2,Pearson r,32,0.842,0.7,0.92,0.0,,very strong
holistic_score_0-3,P2,Weighted κ,32,0.623,0.437,0.774,,,substantial
holistic_score_0-3,P2,Bias (LLM−human),32,0.406,0.219,0.625,0.0016,0.661,Cohen's d: medium
holistic_score_0-3,P2,MAE,32,0.469,0.281,0.656,,,ordinal — interpret with caution
holistic_score_0-3,P2,% exact match,32,56.2,39.3,71.8,,,
holistic_score_0-3,P2,% within ±1,32,96.9,84.3,99.4,,,
