jd_id,cv,prompt,run_id,source,model,temperature,score,score_100,human_holistic_label,latency_s,prompt_tokens,output_tokens,total_tokens,error,level
maki_people_senior_psychometrician,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,6.38,2320.0,9.0,2329.0,,level_1
maki_people_senior_psychometrician,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,7.46,2320.0,9.0,2329.0,,level_1
maki_people_senior_psychometrician,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,9.71,2320.0,9.0,2329.0,,level_1
Accenture_Talent_Transformation_Manager,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,5.42,2805.0,9.0,2814.0,,level_1
Accenture_Talent_Transformation_Manager,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,4.72,2805.0,9.0,2814.0,,level_1
Accenture_Talent_Transformation_Manager,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,8.19,2805.0,9.0,2814.0,,level_1
Arrive_People_Analytics_Lead,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,7.97,2604.0,9.0,2613.0,,level_1
Arrive_People_Analytics_Lead,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,9.72,2604.0,9.0,2613.0,,level_1
Arrive_People_Analytics_Lead,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,11.15,2604.0,9.0,2613.0,,level_1
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,0.7,1937.0,9.0,1946.0,,level_1
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,19.55,1937.0,9.0,1946.0,,level_1
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2.0,,1.0,9.28,1937.0,9.0,1946.0,,level_1
Canonical_talent_scientst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3.0,,2.0,11.39,2584.0,9.0,2593.0,,level_1
Canonical_talent_scientst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,2.0,7.39,2584.0,9.0,2593.0,,level_1
Canonical_talent_scientst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3.0,,2.0,9.61,2584.0,9.0,2593.0,,level_1
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,6.0,1912.0,9.0,1921.0,,level_1
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,9.74,1912.0,9.0,1921.0,,level_1
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3.0,,3.0,10.11,1912.0,9.0,1921.0,,level_1
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2.0,,2.0,9.64,2073.0,9.0,2082.0,,level_1
