jd_id,cv,prompt,run_id,source,model,temperature,skills,role_relevance,domain_relevance,education,holistic,confident,holistic_score,fit_score_100,skill_score,role_score,domain_score,edu_score,human_holistic_label,latency_s,prompt_tokens,output_tokens,total_tokens,error
maki_people_senior_psychometrician,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,WEAK,True,1,0.0,0.0,0.0,0.0,0.0,,11.5,2500,36,2536,
maki_people_senior_psychometrician,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,WEAK,True,1,0.0,0.0,0.0,0.0,0.0,,12.35,2500,36,2536,
maki_people_senior_psychometrician,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,NO,NO FIT,True,0,0.0,0.0,0.0,0.0,0.0,,47.79,2500,36,2536,
Accenture_Talent_Transformation_Manager,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,WEAK,True,1,19.0,0.0,0.0,0.5,1.0,,10.94,2985,35,3020,
Accenture_Talent_Transformation_Manager,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,10.38,2985,36,3021,
Accenture_Talent_Transformation_Manager,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,PARTIAL,DIFFERENT,RELATED,YES,WEAK,True,1,49.0,0.5,0.0,0.5,1.0,,31.27,2985,36,3021,
Arrive_People_Analytics_Lead,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,7.03,2784,35,2819,
Arrive_People_Analytics_Lead,cv_engineer,L2_P0,2,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,10.27,2784,35,2819,
Arrive_People_Analytics_Lead,cv_engineer,L2_P0,3,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,RELATED,YES,NO FIT,True,0,19.0,0.0,0.0,0.5,1.0,,5.78,2784,35,2819,
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_engineer,L2_P0,1,main,gemini-3.1-flash-lite-preview,1.0,NO,DIFFERENT,UNRELATED,PARTIAL,NO FIT,True,0,5.0,0.0,0.0,0.0,0.5,,52.59,2117,37,2154,
