jd_id,cv,prompt,run_id,source,model,temperature,score,score_100,verdict,human_holistic_label,latency_s,prompt_tokens,output_tokens,total_tokens,error
maki_people_senior_psychometrician,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,6.38,2320,9,2329,
maki_people_senior_psychometrician,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,7.46,2320,9,2329,
maki_people_senior_psychometrician,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,9.71,2320,9,2329,
Accenture_Talent_Transformation_Manager,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,5.42,2805,9,2814,
Accenture_Talent_Transformation_Manager,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,4.72,2805,9,2814,
Accenture_Talent_Transformation_Manager,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,8.19,2805,9,2814,
Arrive_People_Analytics_Lead,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,7.97,2604,9,2613,
Arrive_People_Analytics_Lead,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,9.72,2604,9,2613,
Arrive_People_Analytics_Lead,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,11.15,2604,9,2613,
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,0.7,1937,9,1946,
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,19.55,1937,9,1946,
Atlantica Sustainable Infrastructure_Talent_Culture Analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,9.28,1937,9,1946,
Canonical_talent_scientst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,2.0,11.39,2584,9,2593,
Canonical_talent_scientst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,2.0,7.39,2584,9,2593,
Canonical_talent_scientst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,2.0,9.61,2584,9,2593,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,6.0,1912,9,1921,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,9.74,1912,9,1921,
Dandelion_Civilization_Psychometric Modeling_Analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,3.0,10.11,1912,9,1921,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,9.64,2073,9,2082,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,3,,Apply,2.0,6.9,2073,9,2082,
DataAnnotation_Quantitative_Psychologist_AI_Trainer,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,8.18,2073,9,2082,
G-Research_Insight_Analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,12.08,1958,9,1967,
G-Research_Insight_Analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,5.03,1958,9,1967,
G-Research_Insight_Analyst,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,12.03,1958,9,1967,
Johnson_Controls_People Insights_Partner ,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,0.66,1979,9,1988,
Johnson_Controls_People Insights_Partner ,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,3.71,1979,9,1988,
Johnson_Controls_People Insights_Partner ,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,10.27,1979,9,1988,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,6.15,2459,9,2468,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,5.06,2459,9,2468,
LinkedIn_HR_Data_Engineer_People_Analytics ,cv_primary,P0,3,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,1.0,5.76,2459,9,2468,
Proofpoint_People_Data_Analyst,cv_primary,P0,1,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,14.04,2166,9,2175,
Proofpoint_People_Data_Analyst,cv_primary,P0,2,main,gemini-3.1-flash-lite-preview,1.0,2,,Consider,2.0,11.69,2166,9,2175,
